8768,High Court of American Samoa,Am. Samoa,2140
8769,Oregon Supreme Court,Or.,23839
8770,United States Court of Appeals for the District of Columbia Circuit,D.C. Cir.,23969
8771,United States Court of Appeals for the Tenth Circuit,10th Cir.,43151
8772,Illinois Supreme Court,Ill.,49182
8775,Superior Court of Pennsylvania,Pa. Super. Ct.,76655
8777,New Jersey Court of Chancery,N.J. Ch.,11384
8778,United States Court of Appeals for the Second Circuit,2d Cir.,68783
8779,United States District Court for the Eastern District of Missouri,E.D. Mo.,5025
8780,Minnesota Supreme Court,Minn.,43562
8785,United States District Court for the Southern District of Mississippi,S.D. Miss.,2538
8790,Michigan Supreme Court,Mich.,51921
8791,New York Supreme Court,N.Y. Sup. Ct.,86188
8793,Illinois Court of Claims,Ill. Ct. Cl.,9848
8796,Supreme Court of Georgia,Ga.,69574
8797,New Hampshire Supreme Court,N.H.,18013
8799,Court of Appeal of the State of California,Cal. Ct. App.,47046
8801,Connecticut Appellate Court,Conn. App. Ct.,15118
8802,North Dakota Supreme Court,N.D.,16508
8803,Connecticut Supreme Court,Conn.,32734
8805,"New Jersey Superior Court, Appellate Division",N.J. Super. Ct. App. Div.,20520
8807,Arizona Court of Appeals,Ariz. Ct. App.,14856
8808,Arkansas Supreme Court,Ark.,50750
8809,United States Court of Appeals for the First Circuit,1st Cir.,21719
8810,South Carolina Court of Appeals,S.C. Ct. App.,10394
8811,Oregon Court of Appeals,Or. Ct. App.,30647
8814,Ohio Court of Appeals,Ohio Ct. App.,50610
8815,New Jersey Court of Errors and Appeals,N.J.,10494
8816,Texas Courts of Civil Appeals,Tex. Civ. App.,82270
8818,Court of Special Appeals of Maryland,Md. Ct. Spec. App.,10118
8820,United States Court of Appeals for the Fifth Circuit,5th Cir.,102249
8821,United States Court of Appeals for the Eighth Circuit,8th Cir.,60240
8823,Court of Appeals of Maryland,Md.,30793
8824,Oregon Tax Court,Or. T.C.,1270
8825,Massachusetts Supreme Judicial Court,Mass.,61956
8826,United States Court of Appeals for the Ninth Circuit,9th Cir.,129083
8829,Montana Supreme Court,Mont.,27993
8831,New York Circuit Court,N.Y. Cir. Ct.,111
8832,Supreme Court of Pennsylvania,Pa.,90352
8833,"New York Supreme Court, Appellate Term",N.Y. App. Term,21817
8835,Supreme Court of New Mexico,N.M.,11442
8837,Illinois Appellate Court,Ill. App. Ct.,123915
8840,United States Court of Appeals for the Third Circuit,3d Cir.,47226
8846,Chatham Superior Court,Chatham Super. Ct.,116
8847,Supreme Court of Ohio,Ohio,76922
8848,United States District Court for the Northern District of New York,N.D.N.Y.,4738
8849,United States District Court for the Middle District of Alabama,M.D. Ala.,3070
8851,Allegheny County Court of Common Pleas,Allegheny Cty. C.P.,1625
8864,United States Court of Appeals for the Sixth Circuit,6th Cir.,52700
