OK,Court ID,Court Name,Fixed Court Name,Court Name Abbreviation,Fixed Court Name Abbreviation,Count,Jurisdiction,Fixed Jurisdiction,First Date,Last Date,Example Case ID,Example Case
x,15658,Accomack County Circuit Court,,Accomack Cty. Cir. Ct.,,23,Virginia,,1981-12-04,2012-04-24,3782639,View example
x,13190,Adams Circuit Court,,Adams Cir. Ct.,,1,Ohio,,1886-11-01,1886-11-01,1616627,View example
x,17340,Adams County Circuit Court,,Adams Cty. Cir. Ct.,,1,Ohio,,1900-04-01,1900-04-01,1515775,View example
x,9311,Adams County Court of Common Pleas,,Adams Cty. C.P.,,476,Pennsylvania,,1891-10-05,2014-08-25,29914,View example
x,16855,Adams County Court of Common Pleas,,Adams Cty. Ct. C.P.,Adams Cty. C.P.,3,Pennsylvania,,1885-12-14,1968-10-21,1036272,View example
x,23956,Adams County Court of Common Pleas,,Adams Cty. C.P.,,5,Ohio,,1909-01-01,1973-06-29,1547729,View example
x,13144,Adams County Court of Oyer and Terminer,,Adams Cty. Ct. Oyer & Terminer,,2,Pennsylvania,,1958-05-20,1961-07-08,1633828,View example
x,12260,Adams County Court of Quarter Sessions,,Adams Cty. Ct. Quarter Sess.,,28,Pennsylvania,,1937-12-27,1968-11-21,1531144,View example
x,9701,Adams County Orphans' Court,,Adams Cty. Orphans' Ct.,,12,Pennsylvania,,1933-10-16,1967-08-03,351166,View example
x,11867,Adams County Orphans' Court,,Adams Orphans' Ct.,Adams Cty. Orphans' Ct.,1,Pennsylvania,,1987-01-29,1987-01-29,1273060,View example
x,13297,Adams County Orphans' Court,,Adams Cty. Orphans' Court,Adams Cty. Orphans' Ct.,1,Pennsylvania,,1961-10-11,1961-10-11,1659402,View example
x,16543,Adams County of Common Pleas,,Adams Cty. C.P.,,2,Pennsylvania,,1983-03-18,1983-04-27,1937636,View example
x,15673,Agusta County Circuit Court,,Agusta Cty. Cir. Ct.,,1,Virginia,,1997-07-18,1997-07-18,3904535,View example
x,11989,Akron Municipal Court,,Akron Mun. Ct.,,69,Ohio,,1923-07-31,2000-04-04,1432914,View example
x,12012,Akron Municipal Court,,Ohio Mun. Ct.,Akron Mun. Ct.,9,Ohio,,1973-09-26,1980-07-29,1443599,View example
x,21510,Akron Municipal Court,,Mun. Ct.,Akron Mun. Ct.,1,Ohio,,1984-06-04,1984-06-04,6707285,View example
x,21525,Akron Municipal Court.,,Akron Mun. Ct.,Akron Mun. Ct.,1,Ohio,,1981-06-15,1981-06-15,6706739,View example
x,11048,Alabama Court of Appeals,,Ala. Ct. App.,,22027,Alabama,,1911-01-01,2003-12-12,917124,View example
x,12070,Alabama Court of Civil Appeals,,Ala. Civ. App.,,16781,Alabama,,1969-11-24,2017-03-31,427940,View example
x,22355,Alabama Court of Civil Appeals,,Ala. Civ. App,Ala. Civ. App.,33,Alabama,,1994-03-18,1995-02-10,7452208,View example
x,22918,Alabama Court of Criminal Appeal,Alabama Court of Criminal Appeals,Ala. Crim. App.,Ala. Crim. App.,1,Alabama,,1990-02-23,1990-02-23,11975433,View example
x,12083,Alabama Court of Criminal Appeals,,Ala. Crim. App.,,18006,Alabama,,1969-08-19,2017-04-28,427941,View example
x,24294,Alabama Court of Criminal Appeals,12083,Ala. Crim. App.,,29,Louisiana,,1992-01-17,2007-02-23,7450630,View example
x,10895,Alabama Supreme Court,,Ala.,,72227,Alabama,,1820-01-01,2017-06-22,902201,View example
x,11683,Alachua County Circuit Court,,Alachua Cty. Cir. Ct.,,6,Florida,,1956-06-07,1981-07-24,1211094,View example
x,16680,Alachua County Court,,Alachua Cty. Ct.,,1,Florida,,1982-08-02,1982-08-02,2008020,View example
x,16436,Alaska Court of Appeals,,Alaska Ct. App.,,2530,Alaska,,1980-11-13,2017-12-15,6775206,View example
x,22694,Alaska Court of Appeals,16436,Alaska,Alaska Ct. App.,6,Alaska,,1996-02-09,1996-03-01,10323947,View example
x,24283,Alaska Court of Appeals,16436,Alaska Ct. App.,,3,Alabama,,2013-10-25,2013-11-22,6971115,View example
x,11860,Alaska District Court,23837,Alaska Dist. Ct.,,66,United States,,1954-05-07,1955-11-04,8841924,View example
x,23837,Alaska District Court,,Alaska Dist. Ct.,,414,Alaska,,1887-10-31,1958-12-31,1260696,View example
x,16442,Alaska Supreme Court,,Alaska,,6908,Alaska,,1959-12-22,2018-01-19,6774459,View example
x,22328,Alaska Supreme Court Alaska,Alaska Supreme Court,Alaska,,9,Alaska,,1969-04-07,1969-05-05,7409752,View example
x,9264,Albany City Court,,Albany City Ct.,,97,New York,,1814-01-01,2016-07-06,175706,View example
x,10645,Albany City Court,,Albany Ct. Ct.,Albany City Ct.,1,New York,,1987-09-25,1987-09-25,865202,View example
