id,state,reporter,short,start_date,end_date,volumes,official offset,official,nominative,comments
296,Ala.,Alabama Reports,Ala.,1840,1976,295,,,,
297,Ala.,Alabama Appellate Courts Reports,Ala. App.,1911,1968,62,,,,
581,Ala.,Minor,Minor,1820,1826,1,,,,
582,Ala.,Stewart,Stew.,1827,1831,3,,,,
583,Ala.,Stewart and Porter,Stew. & P.,1831,1834,5,,,,
584,Ala.,Porter,Port.,1834,1839,9,,,,
596,Alaska,Alaska Reports,Alaska,1887,1958,17,,,,
597,Alaska,Alaska Federal Reports,Alaska Fed.,1869,1937,5,,,,
753,Am. Samoa,American Samoa Reports 2d,Am. Samoa 2d,1983,1997,31,,,,
754,Am. Samoa,American Samoa Reports 3d,Am. Samoa 3d,1997,2014,10,,,,
951,Am. Samoa,American Samoa Reports,Am. Samoa,1900,1975,4,,,,
290,Ariz.,Arizona Appeals Reports,Ariz. App.,1965,1977,27,,,,
291,Ariz.,Arizona Reports,Ariz.,1886,1911,233,,,,
368,Ark.,Arkansas Reports,Ark.,1837,1844,375,,,,
677,Ark.,"Reports of Cases Argued and Determined in the United States Superior Court for the Territory of Arkansas, from 1820 to 1836",Ark. Terr. Rep.,1820,1836,1,,,,
996,Ark.,Arkansas Appellate Reports,Ark. App.,1981,2009,0,,,,
327,Cal.,California Appellate Reports,Cal. App.,1905,1934,140,,,,
329,Cal.,"California Appellate Reports, Second Series",Cal. App. 2d,1934,1966,276,,,,
332,Cal.,"California Appellate Reports, Third Series",Cal. App. 3d,1969,1991,235,,,,
334,Cal.,"California Appellate Reports, Fourth Series",Cal. App. 4th,1991,2017,221,,,,
414,Cal.,California Reports,Cal.,1850,1934,220,,,,
417,Cal.,California Reports,Cal. 2d,1934,1969,71,,,,
418,Cal.,California Reports,Cal. 3d,1969,1991,54,,,,
419,Cal.,California Reports,Cal. 4th,1991,2014,56,,,,
565,Cal.,California Unreported Cases,Cal. Unrep.,1855,1910,7,,,,
566,Cal.,"Reports of Cases in the Probate Court of the City and County of San Francisco, from January 1, 1872, to December 31, 1879, Milton H. Myrick, Probate Judge",Myrick,1872,1879,1,,,,
567,Cal.,"Reports of Decisions in Probate, by James V. Coffey, Judge of the Superior Court in and for the City and County of San Francisco, State of California. Reported and Annotated by Peter V. Ross and Jeremiah V. Coffey",Coffey,1908,1916,6,,,,
678,Cal.,Reports of Cases Determined in the District Courts of the State of California,Cal. Dist. Ct.,1857,1858,2,,,,
679,Cal.,California Superior Court Decisions: Notable Cases,Cal. Super. Ct.,1924,1929,2,,,,
680,Cal.,Unwritten Decisions of the Supreme Court of California,Cal.,0,0,1,,,,
1078,Cal.,"California Appellate Reports, Fifth Series",Cal. App. 5th,2017,0,0,,,,
344,Colo.,Colorado Reports,Colo.,1864,1891,200,,,,
600,Colo.,Colorado Court of Appeals Reports,Colo. App.,1891,1915,27,,,,
675,Colo.,Colorado Law Reporter,Colo. L. Rep.,1880,1884,4,,,,
681,Colo.,Colorado Nisi Prius Decisions,Colo. N. P.,1900,1902,1,,,,
177,Conn.,Day's Reports,Day,1802,1813,5,,,,
178,Conn.,Connecticut Reports,Conn.,1814,1852,287,,,,
348,Conn.,Connecticut Supplement,Conn. Supp.,1935,2004,51,,,,
515,Conn.,Connecticut Appellate Reports,Conn. App.,1983,2010,121,,,,
633,Conn.,Connecticut Reports,Root,1789,1798,2,,,,
635,Conn.,Connecticut Reports,Kirby,1785,1789,2,,,,
636,Conn.,Connecticut Circuit Court Reports,Conn. Cir. Ct.,1961,1974,6,,,,
682,Conn.,Reports of Cases Adjudged in the Superior Court and Supreme Court of Errors,Conn. Super. Ct.,1789,1793,2,,,,
683,Conn.,Reports of Cases Adjudged in the Superior Court,Conn. Super. Ct.,1785,1789,1,,,,
756,D.C.,"Reports of cases civil and criminal in the United States Circuit Court of the District of Columbia, from 1801 to 1841 (Cranch)",D.C. (Cranch),1801,1840,5,1,D.C.,Cranch,
693,D.C.,Reports of cases arising upon applications for letters-patent for inventions determined in the Circuit and Supreme Court of the District of Columbia (MacArthur's Patent Cases),D.C. (patent),1841,1859,1,,,,"MacArthur's Patent Cases (variously cited as MacArth. Pat. Cas., MacArthur, MacAr., MacAr. Pat. Cas.). Single series of patent cases (https://www.ipmall.info/content/patent-case-collections-mcarthur-and-fisher-cases)"
691,D.C.,Reports of cases argued and determined in the Supreme Court of the District of Columbia (MacArthur),D.C. (MacArth.),1873,1879,3,8,D.C.,MacArth.,
690,D.C.,Reports of cases argued and adjudged in the Supreme Court of the District of Columbia (MacArthur & Mackey),D.C. (MacArth. & M.),1879,1880,1,11,D.C.,MacArth. & M.,
689,D.C.,Reports of cases argued and determined in the Supreme Court of the District of Columbia (Mackey),D.C. (Mackey),1880,1892,9,12,D.C.,Mackey,
688,D.C.,Reports of cases argued and adjudged in the Supreme Court of the District of Columbia (Tucker & Clephane),D.C. (Tuck. & Cl.),1892,1893,1,21,D.C.,Tuck. & Cl.,
694,D.C.,Supreme Court of the District of Columbia Reports,S.C.D.C. (N.S.),1933,1936,2,,,,S.C.D.S. is a single series reporter & wasn't renamed or numbered. It contains only trial level decisions of the the D.C. Supreme Court (jurisdiction was split between original and appellate in 1893). This reporter ended when D.C. Supreme Court was renamed the U.S. District Court for the District of Columbia
684,D.C.,Reports of Cases Adjudged in the Court of Appeals of the District of Columbia,App. D.C.,1893,1934,408,,,,
692,D.C.,"Reports of cases civil and criminal in the United States Circuit Court of the District of Columbia, from 1801 to 1841",D.C. Cir.,1840,1850,2,,,,
755,D.C.,Reports of cases argued and determined in the Supreme Court of the District of Columbia (District of Columbia - reported by Mackey),D.C.,1863,1872,2,,,,
