Barcode,Reporter,Volume No,S.D. of Year Intervals,Non-Outlier Years YYYY(# of cases),Outlier Year,Outlier Case Name,Outlier case_id,Outlier Link,Duplicative,In-Scope,Statistical Outlier,Date Range Outlier
,,,,,,,,,,,,
32044110630233,F. Supp.,42,18.04084263,"1938(1), 1939(1), 1940(6), 1941(189), 1942(73)",,,,,,,,
,,,,,1641,"BOYER v. MILLER HATCHERIES, Inc.",4209439,https://cite.case.law/f-supp/42/135/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044110630118,F. Supp.,32,17.03524967,"1938(2), 1939(20), 1940(283)",,,,,,,,
,,,,,1640,In re GILMORE WHISKEY CORPORATION,4194497,https://cite.case.law/f-supp/32/817/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044110630225,F. Supp.,43,12.87447565,"1912(1), 1938(1), 1939(2), 1940(8), 1941(48), 1942(212)",,,,,,,,
,,,,,1842,UNIVERSAL WINDING CO. v. ABBOTT MACH. CO.,4210454,https://cite.case.law/f-supp/43/647/,FALSE,TRUE,Yes,No
,,,,,1642,RABE v. RUDOLPH WURLITZER CO.,4211585,https://cite.case.law/f-supp/43/416/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078693009,Ill. App. 3d,2,12.47547337,"1971(235), 1972(21)",,,,,,,,
,,,,,1771,"The People of the State of Illinois, Plaintiff-Appellee, v. Danny Tobin, Defendant-Appellant",2747110,https://cite.case.law/ill-app-3d/2/538/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078486214,N.Y. Crim.,25,11.865479,"1910(42), 1911(28)",,,,,,,,
,,,,,1810,THE PEOPLE v. LOUIS BROWN AND MORRIS TAUB,1196821,https://cite.case.law/ny-crim/25/173/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078679024,Ariz.,18,11.50640899,"1916(54), 1917(19)",,,,,,,,
,,,,,1817,"JOHN H. IVY, Administrator of the Estate of W. J. GALBRAITH, Deceased, Appellant, v. P. P. PARKER, Appellee",2415080,https://cite.case.law/ariz/18/503/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
NOTALEPH000220,Va.,7,10.21139394,"1790(15), 1801(20), 1802(31), 1803(26)",,,,,,,,
,,,,,1901,Chisholm v. Starke and Others,6715048,https://cite.case.law/va/7/25/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078583838,Mich. App. ,173,9.900990099,1988(101),,,,,,,,
,,,,,1888,SEARCY v. SEARCY,2320059,https://cite.case.law/mich-app/173/188/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044057888182,N.D.,7,9.59275115,"1897(28), 1898(59)",,,,,,,,
,,,,,1807,State of North Dakota vs. Alec Coudotte,199688,https://cite.case.law/nd/7/109/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078464138,Me.,127,9.365123429,"1928(91), 1929(22)",,,,,,,,
,,,,,1828,Martha F. Weston vs. Jessie E. McLain,657158,https://cite.case.law/me/127/218/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078641743,Or.,191,9.233503269,"1950(1), 1951(46)",,,,,,,,
,,,,,1886,Cline v. Cline; Wally Cline Respt -vs- Jacob Cline Appellant; Jacob Cline Appellant -vs- Wally Cline Respt,2080523,https://cite.case.law/or/191/687/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078434529,Kan.,193,9.166655785,1964(118),,,,,,,,
,,,,,1864,"Allan Mies, a Minor, by and Through His Father, Natural Guardian and Next Friend, L. N. Mies, Appellant, v. F. W. Twietmeyer, Appellee",545540,https://cite.case.law/kan/193/97/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078434503,Kan.,182,9.151876152,"1957(30), 1958(86)",,,,,,,,
,,,,,1858,"Deering J. Marshall, Appellee, v. Vernal Duncan, Appellant",542116,https://cite.case.law/kan/182/540/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044132261769,Va. Cir.,12,9.093947799,"1953(1), 1968(1), 1969(2), 1972(2), 1973(1), 1974(1), 1975(2), 1976(1), 1978(4), 1979(1), 1980(1), 1981(1), 1982(3), 1983(8), 1984(1), 1985(1), 1986(9), 1987(12), 1988(63)",,,,,,,,
,,,,,1856,Ritchie & Dunnavant v. G. A. Wilson and R. A. Lewis,3877945,https://cite.case.law/va-cir/12/539/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078515343,Ohio Law Abs.,46,9.004850615,"1943(11), 1944(9), 1945(15), 1946(80)",,,,,,,,
,,,,,1846,"APPEL, Plaintiff - Appellee, v. APPEL, ,Defendant-Appellant",1735351,https://cite.case.law/ohio-law-abs/46/198/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078652724,Ky.,164,8.275862069,1915(145),,,,,,,,
,,,,,1815,"Sublett, et al. v. Gardner, Administrator, et al.",4437766,https://cite.case.law/ky/164/385/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078603008,Cal. App. 2d,21,8.032023946,1937(154),,,,,,,,
,,,,,1837,"MARIA IONE BACON, Respondent, v. BERTRAND A. BACON et al., Appellants",4441953,https://cite.case.law/cal-app-2d/21/540/,FALSE,TRUE,Yes,No
,,,,,,,,,,,,
32044078593910,Cal.,102,7.97525619,"1891(1), 1893(1), 1894(116)",,,,,,,,
